codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_31,res_01007904,"0,00","0,00","1,00","0,00","1,00","0,00","0,00","1,00"
spec_31,res_01002601,"4,00","3,00","6,00","4,00","3,00","4,00","2,00","12,00"
spec_31,res_01000402,"10,00","10,00","9,00","10,00","8,00","7,00","7,00","23,00"
spec_31,res_01000403,"4,00","6,00","5,00","3,00","5,00","4,00","4,00","14,00"
spec_31,res_01002301,"3,00","3,00","2,00","3,00","2,00","4,00","3,00","8,00"
spec_31,res_01000502,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_31,res_01000401,"7,00","6,00","7,00","6,00","10,00","5,00","7,00","20,00"
spec_31,res_01002302,"4,00","5,00","5,00","5,00","6,00","5,00","4,00","14,00"
spec_31,res_01003001,"1,00","1,00","0,00","1,00","1,00","1,00","1,00","1,00"
spec_31,res_01012601,"0,00","1,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_31,res_01090301,"1,00","3,00","2,00","1,00","2,00","2,00","2,00","5,00"
spec_78,res_01090702,"7,00","2,00","3,00","4,00","2,00","1,00","2,00","7,00"
spec_78,res_01090302,"2,00","3,00","4,00","3,00","4,00","1,00","0,00","10,00"
spec_58,res_01002601,"2,00","2,00","2,00","2,00","3,00","0,00","0,00","7,00"
spec_58,res_01090501,"5,00","7,00","5,00","8,00","6,00","4,00","5,00","26,00"
spec_58,res_01090400,"4,00","3,00","3,00","3,00","3,00","2,00","1,00","10,00"
spec_58,res_01090600,"6,00","5,00","6,00","6,00","7,00","4,00","3,00","28,00"
spec_58,res_01090701,"1,00","2,00","2,00","1,00","2,00","0,00","2,00","7,00"
spec_58,res_01000300,"2,00","1,00","2,00","1,00","1,00","0,00","1,00","6,00"
spec_58,res_01090800,"7,00","8,00","11,00","9,00","8,00","2,00","2,00","106,00"
spec_58,res_01012601,"3,00","4,00","2,00","2,00","2,00","1,00","2,00","9,00"
spec_58,res_01089200,"3,00","5,00","4,00","3,00","4,00","2,00","3,00","14,00"
spec_58,res_01090302,"7,00","7,00","8,00","9,00","6,00","1,00","1,00","20,00"
spec_58,res_01090101,"9,00","11,00","12,00","14,00","9,00","4,00","7,00","63,00"
spec_58,res_01008500,"2,00","2,00","4,00","3,00","2,00","1,00","1,00","10,00"
spec_02,res_01089700,"28,00","22,00","28,00","27,00","31,00","12,00","0,00","34,00"
spec_02,res_01065400,"6,00","5,00","8,00","7,00","11,00","0,00","0,00","11,00"
spec_02,res_01000801,"7,00","7,00","6,00","5,00","8,00","0,00","0,00","87,00"
spec_02,res_01090400,"87,00","79,00","57,00","52,00","69,00","1,00","3,00","970,00"
spec_02,res_01090600,"12,00","15,00","12,00","11,00","9,00","0,00","0,00","106,00"
spec_02,res_01001000,"2,00","3,00","2,00","3,00","3,00","0,00","0,00","8,00"
spec_02,res_01007905,"5,00","3,00","5,00","4,00","1,00","0,00","0,00","54,00"
spec_02,res_01002606,"6,00","7,00","4,00","5,00","4,00","0,00","0,00","65,00"
spec_02,res_01002605,"5,00","4,00","4,00","3,00","3,00","0,00","0,00","59,00"
spec_02,res_01000300,"5,00","3,00","4,00","5,00","3,00","0,00","0,00","12,00"
spec_02,res_01002604,"6,00","5,00","5,00","4,00","8,00","0,00","1,00","42,00"
spec_02,res_01090104,"8,00","1,00","7,00","6,00","4,00","0,00","0,00","8,00"
spec_02,res_01088200,"52,00","52,00","42,00","43,00","46,00","0,00","1,00","529,00"
spec_02,res_01012402,"2,00","6,00","2,00","1,00","1,00","0,00","0,00","6,00"
spec_02,res_01000901,"3,00","3,00","2,00","2,00","1,00","0,00","0,00","12,00"
spec_02,res_01000700,"22,00","22,00","19,00","22,00","18,00","2,00","1,00","56,00"
spec_02,res_01090501,"1,00","1,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_02,res_01090701,"40,00","27,00","24,00","12,00","25,00","1,00","1,00","236,00"
spec_02,res_01001100,"9,00","7,00","6,00","8,00","4,00","0,00","6,00","55,00"
spec_02,res_01001903,"17,00","14,00","16,00","8,00","11,00","1,00","1,00","319,00"
spec_02,res_01001901,"8,00","5,00","9,00","10,00","8,00","2,00","2,00","38,00"
spec_02,res_01000403,"19,00","15,00","14,00","4,00","9,00","0,00","1,00","115,00"
spec_02,res_01003003,"1,00","1,00","1,00","1,00","0,00","0,00","0,00","8,00"
spec_02,res_01003002,"2,00","3,00","2,00","1,00","2,00","0,00","0,00","21,00"
spec_02,res_01002302,"17,00","9,00","9,00","13,00","4,00","0,00","0,00","67,00"
spec_02,res_01012601,"8,00","10,00","11,00","15,00","6,00","0,00","0,00","58,00"
spec_02,res_01000601,"1,00","1,00","1,00","3,00","1,00","0,00","0,00","7,00"
spec_70,res_01090501,"4,00","2,00","2,00","2,00","1,00","1,00","1,00","11,00"
spec_70,res_01090600,"2,00","1,00","2,00","2,00","1,00","0,00","0,00","3,00"
spec_70,res_01090101,"3,00","3,00","3,00","2,00","2,00","0,00","0,00","12,00"
spec_28,res_01090904,"1,00","1,00","1,00","0,00","0,00","0,00","0,00","7,00"
spec_28,res_01090703,"3,00","3,00","2,00","2,00","2,00","0,00","0,00","37,00"
spec_28,res_01090501,"2,00","2,00","1,00","1,00","0,00","0,00","0,00","10,00"
spec_28,res_01090201,"8,00","5,00","5,00","8,00","6,00","1,00","1,00","76,00"
spec_07,res_01064300,"4,00","2,00","1,00","1,00","1,00","1,00","1,00","7,00"
spec_07,res_01090501,"4,00","2,00","3,00","3,00","2,00","1,00","1,00","12,00"
spec_07,res_01090600,"5,00","3,00","3,00","4,00","2,00","2,00","4,00","18,00"
spec_07,res_01090701,"3,00","2,00","3,00","2,00","2,00","2,00","1,00","11,00"
spec_07,res_01090800,"3,00","3,00","3,00","1,00","2,00","1,00","1,00","17,00"
spec_07,res_01062800,"4,00","5,00","2,00","5,00","2,00","1,00","4,00","22,00"
spec_07,res_01090101,"4,00","7,00","5,00","6,00","4,00","3,00","3,00","26,00"
spec_07,res_01061100,"8,00","3,00","6,00","8,00","4,00","1,00","4,00","17,00"
spec_62,res_01012001,"0,00","1,00","1,00","1,00","2,00","2,00","1,00","4,00"
spec_62,res_01000801,"1,00","1,00","1,00","1,00","1,00","1,00","0,00","4,00"
spec_62,res_01000901,"2,00","1,00","1,00","0,00","1,00","1,00","1,00","4,00"
spec_62,res_01090501,"1,00","1,00","2,00","2,00","2,00","1,00","1,00","4,00"
spec_62,res_01012401,"2,00","1,00","0,00","0,00","0,00","0,00","0,00","2,00"
spec_62,res_01090800,"1,00","2,00","1,00","1,00","2,00","1,00","1,00","3,00"
spec_62,res_01001700,"1,00","1,00","0,00","0,00","2,00","1,00","0,00","4,00"
spec_62,res_01007901,"1,00","1,00","0,00","1,00","1,00","0,00","0,00","2,00"
spec_62,res_01001901,"2,00","1,00","1,00","0,00","0,00","0,00","0,00","2,00"
spec_62,res_01000402,"1,00","1,00","1,00","1,00","3,00","1,00","2,00","5,00"
spec_62,res_01000502,"1,00","1,00","2,00","1,00","2,00","1,00","2,00","4,00"
spec_62,res_01000300,"1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
spec_62,res_01003001,"1,00","1,00","1,00","1,00","1,00","0,00","1,00","2,00"
spec_62,res_01012601,"2,00","2,00","1,00","1,00","2,00","1,00","1,00","4,00"
spec_62,res_01000601,"1,00","1,00","1,00","2,00","1,00","1,00","2,00","4,00"
spec_62,res_01090302,"2,00","2,00","2,00","3,00","2,00","2,00","2,00","11,00"
spec_62,res_01090301,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00"
spec_62,res_01090907,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_50,res_01000801,"4,00","4,00","4,00","5,00","5,00","4,00","5,00","19,00"
spec_50,res_01090400,"4,00","2,00","3,00","3,00","3,00","3,00","3,00","12,00"
spec_50,res_01090600,"3,00","3,00","4,00","5,00","3,00","3,00","3,00","17,00"
spec_50,res_01000802,"0,00","1,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_50,res_01090800,"3,00","3,00","2,00","2,00","3,00","2,00","2,00","10,00"
spec_50,res_01007901,"4,00","4,00","6,00","4,00","4,00","6,00","4,00","17,00"
spec_50,res_01007905,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_50,res_01007904,"0,00","1,00","0,00","0,00","1,00","1,00","0,00","1,00"
spec_50,res_01007902,"1,00","0,00","0,00","0,00","1,00","1,00","1,00","2,00"
spec_50,res_01002603,"3,00","3,00","2,00","3,00","3,00","2,00","2,00","9,00"
spec_50,res_01002602,"1,00","1,00","0,00","1,00","0,00","0,00","0,00","2,00"
spec_50,res_01002601,"3,00","3,00","4,00","2,00","3,00","2,00","3,00","11,00"
spec_50,res_01002606,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","2,00"
spec_50,res_01002605,"3,00","3,00","3,00","4,00","3,00","4,00","2,00","13,00"
spec_50,res_01000502,"1,00","2,00","3,00","2,00","2,00","2,00","2,00","10,00"
spec_50,res_01000300,"4,00","4,00","3,00","4,00","5,00","5,00","4,00","17,00"
spec_50,res_01002604,"2,00","3,00","3,00","3,00","3,00","3,00","3,00","8,00"
spec_50,res_01000501,"3,00","2,00","3,00","3,00","2,00","2,00","3,00","9,00"
spec_50,res_01090101,"4,00","5,00","6,00","6,00","4,00","4,00","4,00","24,00"
spec_50,res_01008500,"5,00","3,00","4,00","3,00","3,00","3,00","3,00","12,00"
spec_50,res_01012001,"1,00","2,00","2,00","2,00","2,00","2,00","2,00","7,00"
spec_50,res_01012002,"0,00","1,00","1,00","0,00","1,00","0,00","0,00","1,00"
spec_50,res_01000902,"4,00","4,00","4,00","3,00","3,00","2,00","2,00","11,00"
spec_50,res_01012402,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_50,res_01012401,"4,00","3,00","3,00","2,00","2,00","3,00","2,00","11,00"
spec_50,res_01000901,"4,00","4,00","3,00","3,00","3,00","2,00","3,00","13,00"
spec_50,res_01000700,"3,00","3,00","2,00","3,00","2,00","2,00","2,00","9,00"
spec_50,res_01090501,"4,00","5,00","4,00","4,00","4,00","4,00","4,00","20,00"
spec_50,res_01090701,"4,00","4,00","6,00","4,00","5,00","3,00","4,00","18,00"
spec_50,res_01001100,"4,00","5,00","4,00","3,00","3,00","4,00","4,00","18,00"
spec_50,res_01001700,"3,00","4,00","2,00","4,00","3,00","2,00","2,00","9,00"
spec_50,res_01001903,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_50,res_01001901,"3,00","4,00","4,00","4,00","4,00","4,00","3,00","15,00"
spec_50,res_01000402,"4,00","3,00","3,00","5,00","4,00","3,00","3,00","12,00"
spec_50,res_01000403,"1,00","1,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_50,res_01002301,"3,00","3,00","3,00","4,00","4,00","2,00","3,00","11,00"
spec_50,res_01000401,"1,00","2,00","1,00","1,00","1,00","2,00","0,00","3,00"
spec_50,res_01003001,"5,00","2,00","3,00","3,00","3,00","5,00","3,00","12,00"
spec_50,res_01002302,"0,00","1,00","1,00","0,00","0,00","1,00","0,00","1,00"
spec_50,res_01012601,"3,00","2,00","2,00","2,00","2,00","3,00","2,00","11,00"
spec_50,res_01000601,"4,00","4,00","5,00","4,00","5,00","4,00","5,00","17,00"
spec_50,res_01012602,"0,00","1,00","0,00","1,00","1,00","0,00","1,00","2,00"
spec_25,res_01090201,"3,00","3,00","2,00","3,00","2,00","2,00","2,00","16,00"
spec_75,res_01092100,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","13,00"
spec_75,res_01090703,"5,00","2,00","2,00","3,00","3,00","1,00","1,00","43,00"
spec_75,res_01002701,"2,00","2,00","1,00","1,00","1,00","0,00","0,00","11,00"
spec_75,res_01090501,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","4,00"
spec_75,res_01090400,"1,00","1,00","2,00","1,00","2,00","1,00","0,00","9,00"
spec_75,res_01090800,"3,00","1,00","1,00","1,00","0,00","0,00","0,00","7,00"
spec_75,res_01064000,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","17,00"
spec_75,res_01090201,"1,00","1,00","1,00","1,00","1,00","0,00","0,00","9,00"
spec_75,res_01089000,"28,00","10,00","5,00","2,00","1,00","0,00","0,00","75,00"
spec_40,res_01000801,"10,00","19,00","12,00","7,00","8,00","3,00","2,00","251,00"
spec_40,res_01090400,"3,00","3,00","4,00","4,00","4,00","3,00","2,00","14,00"
spec_40,res_01090600,"7,00","4,00","4,00","6,00","5,00","3,00","2,00","24,00"
spec_40,res_01090800,"3,00","4,00","3,00","3,00","3,00","2,00","2,00","14,00"
spec_40,res_01007901,"4,00","3,00","3,00","3,00","3,00","2,00","3,00","12,00"
spec_40,res_01061400,"1,00","2,00","2,00","1,00","1,00","0,00","0,00","14,00"
spec_40,res_01063100,"3,00","3,00","3,00","4,00","4,00","2,00","2,00","13,00"
spec_40,res_01007905,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_40,res_01002601,"3,00","2,00","3,00","3,00","3,00","2,00","1,00","11,00"
spec_40,res_01002606,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_40,res_01000502,"4,00","3,00","4,00","5,00","3,00","2,00","2,00","13,00"
spec_40,res_01002605,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_40,res_01000300,"6,00","5,00","5,00","5,00","3,00","2,00","3,00","16,00"
spec_40,res_01002604,"3,00","2,00","5,00","3,00","3,00","2,00","3,00","12,00"
spec_40,res_01090101,"8,00","6,00","8,00","8,00","6,00","3,00","3,00","43,00"
spec_40,res_01062000,"4,00","3,00","4,00","3,00","4,00","1,00","0,00","64,00"
spec_40,res_01008500,"3,00","2,00","2,00","2,00","2,00","2,00","1,00","14,00"
spec_40,res_01012001,"4,00","5,00","5,00","5,00","3,00","2,00","2,00","48,00"
spec_40,res_01012401,"4,00","3,00","4,00","5,00","4,00","2,00","2,00","16,00"
spec_40,res_01000901,"3,00","3,00","2,00","3,00","3,00","2,00","1,00","13,00"
spec_40,res_01000700,"3,00","3,00","4,00","3,00","4,00","1,00","2,00","12,00"
spec_40,res_01090501,"4,00","4,00","5,00","5,00","6,00","2,00","4,00","33,00"
spec_40,res_01090701,"5,00","4,00","5,00","4,00","3,00","3,00","2,00","30,00"
spec_40,res_01001100,"3,00","3,00","4,00","3,00","3,00","2,00","2,00","17,00"
spec_40,res_01001700,"2,00","2,00","3,00","2,00","3,00","2,00","1,00","9,00"
spec_40,res_01001901,"3,00","3,00","3,00","3,00","3,00","3,00","2,00","17,00"
spec_40,res_01061700,"5,00","4,00","5,00","4,00","5,00","2,00","2,00","25,00"
spec_40,res_01061300,"8,00","7,00","9,00","8,00","8,00","3,00","2,00","130,00"
spec_40,res_01000402,"5,00","5,00","4,00","4,00","4,00","3,00","3,00","13,00"
spec_40,res_01000403,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_40,res_01002301,"3,00","3,00","4,00","3,00","4,00","2,00","2,00","14,00"
spec_40,res_01003002,"1,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_40,res_01003001,"3,00","3,00","3,00","3,00","5,00","1,00","3,00","16,00"
spec_40,res_01002302,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_40,res_01012601,"3,00","2,00","4,00","3,00","2,00","2,00","2,00","18,00"
spec_40,res_01000601,"3,00","6,00","6,00","5,00","4,00","3,00","2,00","59,00"
spec_40,res_01012602,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_20,res_01001100,"13,00","11,00","7,00","6,00","9,00","0,00","0,00","77,00"
spec_08,res_01000801,"5,00","5,00","5,00","5,00","3,00","4,00","3,00","12,00"
spec_08,res_01090600,"10,00","9,00","8,00","8,00","8,00","3,00","4,00","24,00"
spec_08,res_01065600,"1,00","6,00","2,00","2,00","1,00","1,00","1,00","6,00"
spec_08,res_01007901,"8,00","9,00","7,00","6,00","6,00","3,00","5,00","18,00"
spec_08,res_01007905,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00"
spec_08,res_01007904,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_08,res_01007902,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_08,res_01064300,"11,00","13,00","13,00","12,00","8,00","2,00","5,00","33,00"
spec_08,res_01000502,"3,00","3,00","3,00","4,00","2,00","1,00","2,00","8,00"
spec_08,res_01000501,"4,00","4,00","4,00","3,00","3,00","2,00","2,00","9,00"
spec_08,res_01090302,"3,00","2,00","5,00","2,00","5,00","1,00","2,00","9,00"
spec_08,res_01062800,"5,00","7,00","7,00","5,00","8,00","1,00","3,00","20,00"
spec_08,res_01008500,"4,00","5,00","4,00","5,00","3,00","3,00","4,00","9,00"
spec_08,res_01065500,"6,00","8,00","7,00","8,00","5,00","1,00","6,00","17,00"
spec_08,res_01000700,"4,00","3,00","3,00","3,00","5,00","3,00","2,00","13,00"
spec_08,res_01090501,"11,00","11,00","11,00","13,00","11,00","4,00","6,00","39,00"
spec_08,res_01001700,"5,00","4,00","4,00","3,00","3,00","3,00","3,00","10,00"
spec_08,res_01002301,"5,00","4,00","5,00","3,00","4,00","4,00","2,00","14,00"
spec_08,res_01003002,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_08,res_01003001,"3,00","5,00","2,00","2,00","3,00","3,00","2,00","30,00"
spec_08,res_01012601,"6,00","3,00","4,00","4,00","3,00","1,00","2,00","12,00"
spec_08,res_01000601,"4,00","4,00","5,00","4,00","3,00","2,00","2,00","9,00"
spec_08,res_01012602,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_08,res_01090201,"4,00","4,00","4,00","4,00","4,00","3,00","5,00","13,00"
spec_08,res_01090203,"0,00","2,00","0,00","1,00","0,00","0,00","0,00","2,00"
spec_08,res_01090400,"5,00","6,00","4,00","5,00","3,00","3,00","4,00","13,00"
spec_08,res_01090800,"8,00","9,00","9,00","10,00","7,00","6,00","4,00","30,00"
spec_08,res_01002603,"2,00","2,00","3,00","3,00","2,00","1,00","1,00","7,00"
spec_08,res_01002602,"1,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_08,res_01002601,"4,00","4,00","5,00","5,00","5,00","3,00","2,00","12,00"
spec_08,res_01002606,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_08,res_01002605,"1,00","1,00","2,00","1,00","2,00","1,00","1,00","4,00"
spec_08,res_01000300,"7,00","7,00","6,00","7,00","8,00","2,00","3,00","20,00"
spec_08,res_01002604,"3,00","3,00","3,00","2,00","2,00","2,00","2,00","7,00"
spec_08,res_01090101,"11,00","10,00","11,00","11,00","9,00","7,00","8,00","35,00"
spec_08,res_01012001,"5,00","3,00","2,00","4,00","2,00","1,00","4,00","8,00"
spec_08,res_01012002,"0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_08,res_01000902,"3,00","4,00","3,00","3,00","4,00","3,00","4,00","11,00"
spec_08,res_01012402,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00"
spec_08,res_01012401,"3,00","4,00","3,00","2,00","3,00","1,00","3,00","8,00"
spec_08,res_01000901,"5,00","4,00","5,00","6,00","5,00","2,00","2,00","13,00"
spec_08,res_01090701,"14,00","11,00","11,00","11,00","10,00","3,00","3,00","31,00"
spec_08,res_01001100,"4,00","5,00","6,00","6,00","4,00","3,00","3,00","17,00"
spec_08,res_01001903,"0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_08,res_01001901,"4,00","4,00","5,00","4,00","2,00","4,00","3,00","12,00"
spec_08,res_01061100,"11,00","12,00","11,00","9,00","5,00","3,00","10,00","28,00"
spec_08,res_01000402,"5,00","5,00","6,00","5,00","6,00","3,00","3,00","11,00"
spec_08,res_01061800,"1,00","0,00","1,00","1,00","1,00","0,00","2,00","4,00"
spec_08,res_01000403,"0,00","1,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_08,res_01000401,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_06,res_01090302,"3,00","3,00","2,00","3,00","1,00","0,00","1,00","6,00"
spec_10,res_01000801,"4,00","3,00","3,00","3,00","2,00","2,00","3,00","10,00"
spec_10,res_01090501,"7,00","7,00","5,00","7,00","4,00","3,00","2,00","14,00"
spec_10,res_01090701,"5,00","17,00","7,00","26,00","5,00","1,00","1,00","26,00"
spec_10,res_01090101,"5,00","5,00","9,00","4,00","3,00","3,00","5,00","15,00"
spec_13,res_01090501,"4,00","6,00","3,00","1,00","2,00","2,00","4,00","12,00"
spec_13,res_01090400,"6,00","4,00","4,00","4,00","2,00","2,00","3,00","20,00"
spec_13,res_01090600,"4,00","5,00","5,00","2,00","1,00","2,00","3,00","15,00"
spec_13,res_01090701,"4,00","1,00","4,00","2,00","1,00","1,00","1,00","7,00"
spec_13,res_01090901,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_13,res_01090101,"5,00","4,00","4,00","3,00","3,00","3,00","4,00","19,00"
spec_48,res_01090302,"0,00","1,00","1,00","0,00","1,00","0,00","1,00","1,00"
spec_48,res_01090101,"3,00","4,00","5,00","4,00","3,00","3,00","5,00","20,00"
spec_18,res_01012001,"7,00","8,00","8,00","3,00","8,00","0,00","0,00","125,00"
spec_18,res_01090501,"35,00","18,00","16,00","26,00","23,00","1,00","2,00","155,00"
spec_18,res_01090600,"4,00","4,00","3,00","3,00","3,00","3,00","1,00","27,00"
spec_18,res_01090701,"3,00","3,00","4,00","3,00","3,00","3,00","2,00","17,00"
spec_18,res_01002301,"8,00","8,00","8,00","7,00","5,00","0,00","0,00","149,00"
spec_18,res_01090800,"8,00","8,00","4,00","3,00","4,00","1,00","1,00","53,00"
spec_18,res_01000300,"1,00","1,00","1,00","1,00","0,00","0,00","0,00","6,00"
spec_18,res_01090302,"2,00","3,00","3,00","2,00","3,00","2,00","2,00","19,00"
spec_18,res_01090101,"38,00","16,00","14,00","14,00","24,00","3,00","4,00","239,00"
spec_39,res_01000801,"5,00","6,00","6,00","7,00","5,00","5,00","4,00","18,00"
spec_39,res_01090600,"6,00","5,00","8,00","4,00","7,00","5,00","6,00","21,00"
spec_39,res_01090800,"0,00","2,00","0,00","1,00","1,00","0,00","0,00","2,00"
spec_39,res_01007901,"5,00","4,00","5,00","3,00","4,00","4,00","3,00","15,00"
spec_39,res_01002603,"5,00","6,00","5,00","5,00","5,00","3,00","3,00","14,00"
spec_39,res_01092000,"3,00","2,00","2,00","3,00","2,00","0,00","0,00","9,00"
spec_39,res_01002601,"3,00","3,00","2,00","2,00","6,00","3,00","2,00","8,00"
spec_39,res_01002605,"2,00","2,00","2,00","3,00","1,00","2,00","2,00","4,00"
spec_39,res_01000502,"4,00","4,00","4,00","6,00","5,00","3,00","3,00","12,00"
spec_39,res_01000300,"3,00","3,00","5,00","4,00","4,00","4,00","4,00","12,00"
spec_39,res_01002604,"2,00","2,00","4,00","3,00","3,00","3,00","2,00","7,00"
spec_39,res_01090302,"18,00","15,00","18,00","13,00","15,00","8,00","11,00","52,00"
spec_39,res_01008500,"5,00","5,00","4,00","5,00","6,00","3,00","5,00","19,00"
spec_39,res_01012001,"6,00","5,00","5,00","4,00","4,00","5,00","5,00","16,00"
spec_39,res_01012002,"2,00","3,00","5,00","3,00","3,00","2,00","4,00","9,00"
spec_39,res_01000902,"2,00","1,00","2,00","2,00","3,00","2,00","2,00","4,00"
spec_39,res_01012401,"4,00","6,00","3,00","6,00","4,00","4,00","5,00","11,00"
spec_39,res_01090702,"11,00","13,00","14,00","10,00","12,00","9,00","7,00","92,00"
spec_39,res_01000901,"6,00","4,00","4,00","4,00","4,00","4,00","3,00","12,00"
spec_39,res_01000700,"5,00","4,00","6,00","12,00","5,00","4,00","4,00","18,00"
spec_39,res_01090501,"4,00","5,00","7,00","5,00","6,00","3,00","5,00","16,00"
spec_39,res_01001700,"5,00","3,00","4,00","8,00","5,00","4,00","3,00","19,00"
spec_39,res_01001901,"6,00","5,00","6,00","4,00","4,00","5,00","4,00","13,00"
spec_39,res_01000402,"5,00","6,00","4,00","6,00","5,00","5,00","4,00","12,00"
spec_39,res_01000403,"3,00","2,00","3,00","4,00","3,00","4,00","3,00","6,00"
spec_39,res_01002301,"5,00","4,00","4,00","3,00","5,00","4,00","5,00","13,00"
spec_39,res_01000401,"5,00","6,00","4,00","5,00","6,00","4,00","4,00","11,00"
spec_39,res_01003001,"3,00","5,00","3,00","4,00","5,00","2,00","4,00","27,00"
spec_39,res_01012601,"7,00","5,00","4,00","6,00","6,00","5,00","6,00","19,00"
spec_39,res_01000601,"4,00","3,00","3,00","6,00","2,00","2,00","3,00","9,00"
spec_46,res_01090302,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","6,00"
spec_21,res_01000801,"2,00","3,00","3,00","3,00","4,00","3,00","2,00","17,00"
spec_21,res_01000700,"3,00","3,00","4,00","3,00","3,00","3,00","3,00","13,00"
spec_21,res_01090400,"4,00","4,00","3,00","5,00","4,00","4,00","3,00","25,00"
spec_21,res_01090600,"5,00","7,00","6,00","6,00","7,00","6,00","4,00","36,00"
spec_21,res_01090701,"4,00","5,00","5,00","5,00","5,00","5,00","4,00","26,00"
spec_21,res_01001100,"2,00","2,00","2,00","2,00","1,00","2,00","2,00","12,00"
spec_21,res_01003003,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_21,res_01002301,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00"
spec_21,res_01003002,"2,00","2,00","2,00","1,00","2,00","1,00","0,00","8,00"
spec_21,res_01000300,"3,00","2,00","2,00","3,00","1,00","2,00","1,00","10,00"
spec_21,res_01002302,"4,00","4,00","5,00","6,00","5,00","4,00","4,00","25,00"
spec_21,res_01003001,"0,00","1,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_21,res_01012601,"1,00","0,00","1,00","0,00","0,00","1,00","0,00","1,00"
spec_21,res_01012602,"4,00","3,00","3,00","3,00","4,00","3,00","4,00","14,00"
spec_21,res_01090101,"8,00","9,00","8,00","8,00","7,00","5,00","4,00","51,00"
spec_73,res_01000402,"1,00","1,00","1,00","2,00","1,00","0,00","2,00","6,00"
spec_73,res_01090501,"1,00","1,00","1,00","1,00","1,00","1,00","2,00","4,00"
spec_73,res_01090702,"1,00","1,00","1,00","2,00","1,00","1,00","1,00","3,00"
spec_73,res_01090600,"3,00","2,00","3,00","3,00","3,00","3,00","2,00","10,00"
spec_73,res_01000300,"1,00","1,00","1,00","2,00","1,00","1,00","1,00","5,00"
spec_73,res_01090800,"1,00","0,00","1,00","1,00","2,00","0,00","0,00","2,00"
spec_73,res_01090302,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_73,res_01000601,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00"
spec_73,res_01090301,"0,00","1,00","0,00","1,00","1,00","0,00","0,00","1,00"
spec_73,res_01008500,"1,00","2,00","2,00","2,00","1,00","1,00","1,00","4,00"
spec_47,res_01090201,"1,00","2,00","1,00","1,00","2,00","2,00","1,00","6,00"
spec_37,res_01089700,"5,00","6,00","2,00","2,00","1,00","0,00","1,00","12,00"
spec_37,res_01000801,"22,00","19,00","18,00","19,00","18,00","13,00","12,00","59,00"
spec_37,res_01090400,"1,00","1,00","0,00","0,00","0,00","0,00","0,00","2,00"
spec_37,res_01090600,"23,00","19,00","21,00","19,00","21,00","11,00","13,00","58,00"
spec_37,res_01000802,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00"
