codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_43,res_01002605,"4,00","5,00","3,00","1,00","2,00","2,00","1,00","10,00"
spec_43,res_01000502,"0,00","9,00","1,00","1,00","1,00","0,00","0,00","9,00"
spec_43,res_01000300,"7,00","8,00","8,00","6,00","6,00","2,00","3,00","18,00"
spec_43,res_01002604,"6,00","5,00","5,00","4,00","3,00","3,00","4,00","13,00"
spec_43,res_01000501,"6,00","3,00","7,00","12,00","6,00","2,00","4,00","16,00"
spec_43,res_01090101,"25,00","25,00","25,00","23,00","20,00","5,00","8,00","60,00"
spec_43,res_01062600,"7,00","7,00","9,00","10,00","12,00","0,00","1,00","24,00"
spec_43,res_01008500,"8,00","6,00","4,00","12,00","6,00","2,00","4,00","26,00"
spec_43,res_01012001,"11,00","10,00","10,00","13,00","9,00","2,00","3,00","20,00"
spec_43,res_01012002,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_43,res_01063200,"10,00","8,00","13,00","1,00","2,00","1,00","2,00","17,00"
spec_43,res_01000902,"3,00","3,00","4,00","3,00","4,00","1,00","1,00","9,00"
spec_43,res_01065500,"9,00","11,00","9,00","7,00","7,00","0,00","4,00","18,00"
spec_43,res_01012401,"7,00","4,00","7,00","8,00","9,00","1,00","3,00","12,00"
spec_43,res_01000901,"4,00","4,00","5,00","4,00","6,00","2,00","4,00","13,00"
spec_43,res_01000700,"5,00","3,00","7,00","2,00","2,00","3,00","4,00","14,00"
spec_43,res_01090501,"8,00","10,00","7,00","6,00","7,00","2,00","5,00","28,00"
spec_43,res_01090701,"14,00","9,00","8,00","11,00","8,00","3,00","6,00","21,00"
spec_43,res_01001100,"5,00","7,00","6,00","7,00","5,00","5,00","7,00","23,00"
spec_43,res_01090901,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_43,res_01089200,"9,00","8,00","10,00","9,00","7,00","1,00","1,00","20,00"
spec_43,res_01001700,"3,00","5,00","2,00","3,00","2,00","2,00","1,00","8,00"
spec_43,res_01001903,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_43,res_01001901,"4,00","4,00","5,00","4,00","2,00","2,00","4,00","14,00"
spec_43,res_01061100,"9,00","12,00","3,00","12,00","1,00","1,00","1,00","16,00"
spec_43,res_01061800,"10,00","11,00","6,00","4,00","1,00","0,00","2,00","15,00"
