codici_comune,spec_01,spec_03,spec_82,spec_05,spec_51,spec_07,spec_06,spec_08,spec_09,spec_10,spec_11,spec_12,spec_13,spec_14,spec_81,spec_02,spec_99,spec_52,spec_97,spec_17,spec_85,spec_79,spec_80,spec_18,spec_54,spec_55,spec_57,spec_58,spec_21,spec_47,spec_46,spec_20,spec_98,spec_60,spec_19,spec_24,spec_25,spec_26,spec_27,spec_61,spec_15,spec_41,spec_29,spec_48,spec_77,spec_62,spec_30,spec_76,spec_32,spec_33,spec_75,spec_31,spec_34,spec_35,spec_66,spec_65,spec_64,spec_36,spec_37,spec_38,spec_39,spec_67,spec_68,spec_40,spec_91,spec_69,spec_70,spec_74,spec_56,spec_22,spec_71,spec_49,spec_73,spec_42,spec_50,spec_28,spec_43,spec_78,spec_04
1272,res_01090101-res_01090302-,,,,,res_01061100-res_01090101-res_01090800-,res_01090302-,res_01001100-res_01000300-res_01061100-res_01090201-res_01090101-res_01000700-res_01065500-res_01090800-res_01090302-res_01090203-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090201-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-,res_01090101-,res_01090302-,res_01000300-res_01090201-res_01090102-res_01090800-res_01001200-res_01090101-,res_01090101-res_01090901-,res_01001100-res_01090101-res_01065500-res_01090800-,,res_01001100-res_01000300-res_01090104-res_01001000-res_01000700-res_01089700-,res_01001100-res_01061200-res_01089200-res_01090302-res_01065300-res_01090201-,res_01090102-,res_01090101-,,,,,res_01090101-res_01090800-res_01090302-res_01000300-,,,,res_01000300-res_01090101-res_01089200-res_01090800-res_01090302-,res_01001100-res_01000300-res_01090101-res_01000700-,res_01090201-,res_01090302-,res_01001100-,,res_01090800-res_01089700-,res_01090101-res_01090800-res_01090302-res_01001200-res_01090201-,res_01001300-res_01090302-,res_01090201-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090101-res_01090102-res_01000700-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-res_01065500-,,res_01090800-,,,res_01001100-res_01090201-res_01090101-res_01000700-res_01090800-res_01090102-,res_01090101-res_01090302-,res_01090302-,res_01000300-res_01090800-res_01090302-res_01090301-res_01090907-,res_01001100-res_01061100-res_01090201-res_01090101-res_01090102-,res_01090302-,res_01001100-res_01000300-res_01061200-res_01090101-res_01000700-res_01090800-res_01001200-,res_01090302-,res_01089000-res_01090201-res_01090800-,res_01090301-res_01090800-res_01000700-,res_01000300-res_01061200-res_01061100-res_01001000-res_01065500-res_01089200-res_01090800-res_01001200-res_01089700-,res_01000300-res_01090101-res_01090800-,,res_01090302-,res_01001100-res_01000300-res_01090101-res_01090301-res_01000700-res_01089200-res_01090800-res_01089700-res_01001200-res_01061000-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090203-res_01090201-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01090302-res_01089700-res_01001200-res_01061000-,res_01000300-res_01061200-res_01090301-res_01000700-res_01090800-res_01089700-res_01001200-res_01061000-,res_01001100-res_01000300-res_01061200-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01090302-res_01061000-res_01089700-res_01090102-res_01090901-,res_01000300-res_01000700-res_01090302-res_01090800-,res_01090201-res_01090101-res_01090301-res_01089200-res_01090302-res_01001100-res_01000300-res_01090203-res_01000700-res_01001200-,res_01090101-res_01090800-res_01090302-,res_01001100-res_01061300-res_01000300-res_01090101-res_01000700-res_01090800-,,,res_01090101-,,res_01061200-res_01089300-res_01061100-res_01090203-res_01089800-res_01090800-res_01089700-res_01001200-res_01000300-res_01089000-res_01090201-res_01089200-,,res_01090101-res_01090800-,res_01001100-res_01000300-res_01090201-res_01090203-res_01090101-res_01000700-res_01090800-res_01090302-res_01090301-res_01090907-,res_01000300-res_01090800-res_01090302-res_01090301-,,res_01001100-res_01000300-res_01090101-res_01000700-res_01090800-,res_01090201-res_01090904-,res_01001100-res_01000300-res_01061200-res_01061100-res_01090203-res_01090101-res_01000700-res_01065500-res_01089200-res_01090800-res_01089700-res_01061000-res_01090901-,res_01090302-,res_01090201-res_01090302-
2016,,,,,,,,res_01000902-,res_01000902-,,,,,,,,res_01000902-,,,,,,,,,,,,,,,,,,,,,res_01000902-,,,,,,,,,,,,,,res_01000902-,,,,,res_01000902-,res_01000902-,res_01000902-,res_01000902-,res_01000902-,,,,,,,,,,,res_01000902-,,,res_01000902-,,res_01000902-,,res_01000902-
96004,,,,,,,,res_01008500-res_01065600-,res_01008500-res_01065600-,,,,,res_01008500-,,,,res_01008500-,,,,,,,,,,res_01008500-,,,,,,res_01008500-res_01065600-,,res_01008500-,,res_01008500-res_01065600-,,,,,res_01008500-,,,,,,res_01008500-,,,,res_01008500-,,,,res_01008500-,res_01008500-res_01065600-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,res_01008500-,,,,,res_01008500-res_01065600-,,,res_01008500-,res_01008500-,,res_01008500-,,res_01008500-res_01065600-,,res_01008500-
1115,,,,,,,,res_01007902-,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007902-,,,,res_01007902-,,,,,,,,,,,,,,,,,,,,res_01007902-,res_01007902-,,,,,,,,,,,,,,,,res_01007902-,,res_01007902-,,
1198,,,,,,,,,,,,,,,,res_01003003-,,,,,,,,,,,,,res_01003003-,,,,,res_01003003-,,,,res_01003003-,,,,,,,,,,,,,,,,,,,res_01003003-,,,,,,,,,,,,res_01003003-,,,,,,,,,,
4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063400-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061400-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01061400-,,,,,res_01061400-,,,,,,,,,,
4029,,,,,,,,res_01012002-,res_01012002-res_01063200-,,,,,res_01063200-,,,res_01063200-,,,,,,,,,,,,,,,,,res_01063100-res_01012002-res_01063200-,,,,res_01012002-res_01063200-,,,,,res_01012002-,,,,,,res_01012002-,,,,res_01063200-,,,,res_01012002-,res_01012002-res_01063200-,res_01012002-,res_01063200-,res_01012002-,res_01012002-,,res_01063100-,,,,,res_01063100-res_01063200-res_01012002-,,,res_01012002-,,,res_01012002-,,res_01063200-res_01012002-,,
2158,,,,,,,,res_01000901-,res_01062600-res_01000901-,,,,,,,res_01000901-,res_01000901-,res_01000901-,,,,,,,,,,,,,,,,res_01000901-,,res_01000901-,,res_01062600-res_01000901-,,,,,res_01000901-,,,res_01000901-,,,res_01000901-,,,res_01000901-,res_01062600-res_01000901-,,,,res_01000901-,res_01062600-res_01000901-,res_01062600-res_01000901-,res_01000901-,res_01000901-,res_01000901-,res_01000901-,res_01000901-,,,,,res_01062600-res_01000901-,,res_01000901-,res_01000901-,,,res_01000901-,,res_01062600-res_01000901-,,
103049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01092000-,,,,,,,,,,,res_01092000-,,,,,,,,,,,,res_01092000-,,,,,,,,res_01092000-,,,,,,,,,,
1082,,,,,,,,res_01001700-,res_01001700-,,,,,,,,res_01001700-,,,,,,,,,,,,,,,,,,,,,res_01001700-,,,,,res_01001700-,,,res_01001700-,,,res_01001700-,,,res_01001700-,,,,,res_01001700-,res_01001700-,res_01001700-,res_01001700-,res_01001700-,,,res_01001700-,,,,,,,,res_01001700-,,,res_01001700-,,res_01001700-,,
3024,,,,,,,,res_01000601-,res_01000601-,,,,,,,res_01000601-,,,,,,,,,,,,,,,,,,,,,,res_01000601-,,,,,res_01000601-,,,res_01000601-,,,res_01000601-,,,,res_01000601-,,,,res_01000601-,res_01000601-,res_01000601-,,res_01000601-,res_01000601-,,res_01000601-,,,,,,,,res_01000601-,res_01000601-,,res_01000601-,,res_01000601-,,
4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063500-,,,,,,,,,,
1164,,,,,,,,,,,,,,,,,res_01000404-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,res_01090400-,res_01090400-,,,,res_01090400-,,,res_01090400-,res_01090400-,,,,,,,,,,,res_01090400-,res_01090400-,,,,,res_01090400-,,,,res_01090400-,,,,,,,,,,,res_01090400-,,res_01090400-,,res_01090400-,res_01090400-,,,res_01090400-,res_01090400-,res_01090400-,res_01090400-,,res_01090400-,res_01090400-,res_01090400-,,,,,res_01090400-,,,res_01090400-,,,res_01090400-,,res_01090400-,,
